Name,Games Played,Team,League,Position,Season,Age,Goals,Assists,Points,+/-,PIM,EV Goals,PP Goals,SH Goals,GW Goals,Shots,S%,TOI,Goals Per Game,Assists Per Game,Points Per Game,Shots Per Game,OPS,DPS,Point Shares
Buddy Robinson,4,OTT,NHL,RW,2016-17,25,0,0,0,0,2,0,0,0,0,4,0,28,0,0,0,1,-0.1,0,0
Kevin Rooney,4,NJD,NHL,C,2016-17,23,0,0,0,-3,4,0,0,0,0,2,0,41,0,0,0,0.5,-0.1,-0.1,-0
Cole Schneider,4,BUF,NHL,LW,2016-17,26,0,1,1,2,0,0,0,0,0,6,0,29,0,0.25,0.25,1.5,0,0.1,0.2
Mikhail Sergachev,4,MTL,NHL,D,2016-17,18,0,0,0,1,0,0,0,0,0,2,0,49,0,0,0,0.5,-0.1,0.2,0.1
Chandler Stephenson,4,WSH,NHL,C,2016-17,22,0,0,0,0,0,0,0,0,0,3,0,36,0,0,0,0.75,-0.1,0,-0.1
Linden Vey,4,CGY,NHL,RW,2016-17,25,0,0,0,-2,0,0,0,0,0,1,0,44,0,0,0,0.25,-0.1,0,-0.2
Tyler Wotherspoon,4,CGY,NHL,D,2016-17,23,0,0,0,-2,0,0,0,0,0,4,0,44,0,0,0,1,-0.1,-0.1,-0.1
Riley Barber,3,WSH,NHL,RW,2016-17,22,0,0,0,0,0,0,0,0,0,2,0,26,0,0,0,0.67,-0.1,0,0
Patrick Cannone,3,MIN,NHL,C,2016-17,30,0,0,0,0,0,0,0,0,0,2,0,24,0,0,0,0.67,-0.1,0,0
Chris Didomenico,3,OTT,NHL,RW,2016-17,27,0,0,0,0,6,0,0,0,0,5,0,33,0,0,0,1.67,-0.1,0,-0.1
Emerson Etem,3,ANA,NHL,LW,2016-17,24,0,0,0,1,2,0,0,0,0,0,,26,0,0,0,0,-0.1,0.1,0
Bobby Farnham,3,MTL,NHL,RW,2016-17,28,0,0,0,0,17,0,0,0,0,4,0,25,0,0,0,1.33,-0.1,0,0
Barclay Goodrow,3,SJS,NHL,RW,2016-17,23,0,1,1,0,0,0,0,0,0,3,0,34,0,0.33,0.33,1,0,0,0.1
Alexandre Grenier,3,VAN,NHL,RW,2016-17,25,0,0,0,-1,0,0,0,0,0,1,0,19,0,0,0,0.33,-0.1,0,-0.1
Nicklas Grossmann,3,CGY,NHL,D,2016-17,32,0,0,0,-4,2,0,0,0,0,3,0,39,0,0,0,1,0,-0.2,-0.3
Brendan Guhle,3,BUF,NHL,D,2016-17,19,0,0,0,1,0,0,0,0,0,4,0,49,0,0,0,1.33,-0.1,0.2,0.1
Charles Hudon,3,MTL,NHL,LW,2016-17,22,0,2,2,1,2,0,0,0,0,3,0,36,0,0.67,0.67,1,0.1,0.1,0.2
Clayton Keller,3,ARI,NHL,LW,2016-17,18,0,2,2,-3,0,0,0,0,0,0,,38,0,0.67,0.67,0,0.1,-0.1,0
Jamie McBain,3,ARI,NHL,D,2016-17,28,0,0,0,-1,0,0,0,0,0,3,0,50,0,0,0,1,-0.1,0,0
Ian McCoshen,3,FLA,NHL,D,2016-17,21,0,1,1,0,0,0,0,0,0,0,,40,0,0.33,0.33,0,0.1,0.1,0.2
Colin McDonald,3,PHI,NHL,C,2016-17,32,1,0,1,1,0,1,0,0,0,5,20,27,0.33,0,0.33,1.67,0.1,0.1,0.2
Wade Megan,3,STL,NHL,C,2016-17,26,1,0,1,1,0,1,0,0,0,6,16.7,26,0.33,0,0.33,2,0.1,0.1,0.2
Zbynek Michalek,3,ARI,NHL,D,2016-17,34,0,0,0,1,0,0,0,0,0,3,0,53,0,0,0,1,-0.1,0.2,0.1
Jakub Nakladal,3,CAR,NHL,D,2016-17,29,0,0,0,-4,0,0,0,0,0,3,0,44,0,0,0,1,-0.1,-0.2,-0.3
Rob O'Gara,3,BOS,NHL,D,2016-17,23,0,0,0,1,0,0,0,0,0,2,0,48,0,0,0,0.67,-0.1,0.2,0.1
